Ten_quan,Mon_an,Dia_chi,Co_so,Toa_do,Thoi_gian_mo_cua,Price,meal_type,cuisine
Hủ tiếu Dê GIA ĐẠT,Hủ tiếu,"111 Thái Phiên, P.2, Q.11",A,"10.758107872605317, 106.64643230061348","6h - 10h30
",120000,full meal,vietnamese
Bơ bán bò Xemisxis,"Bò nướng, các thứ món về bò","31E Lý Tự Trọng, Phường Bến Nghé, Quận 1",A,"10.779945883306345, 106.70285074895662",17g00-22g00,450000,full meal,vietnamese
Phá Lấu Lì,Phá lấu,"17A Nguyễn Thị Minh Khai, P. Bến Nghé",A,"10.78544324139256, 106.70043182012117",07:00 - 21:00,80000,full meal,vietnamese
Lẩu tôm hùm đại dương,Lẩu,"67 Lê Trung Nghĩa, Tân Bình",B,"10.80067698983648, 106.6504791777921",từ 5h chiều,140000,full meal,vietnamese
Amano Pizza,Pizza,"39/1 Nguyễn Trãi, Bến Thành, Hồ Chí Minh",A,"10.77046577807741, 106.69272493890608",17:00 - 19:30,28000,full meal,western
BÚN THÁI CHỢ CAO ĐẠT,Bún mắm,"Chợ Cao Đạt, 197 Cao Đạt, Phường 01",B,"10.753961794898494, 106.68393767362646",8H-15H,89000,full meal,vietnamese
BÁNH MÌ CHẢO ĐẶNG TRẦN CÔN,Bánh mì chảo,"8 Đặng Trần Côn, Q.1, HCM",A,"10.77242225162849, 106.69441476106651",4:00-11:00,48000,full meal,vietnamese
Bún thịt nướng sốt đậu miền Trung,Bún thịt nướng,"64 Hồng Hà, Phường 02, Quận Tân Bình, Hồ Chí Minh",B,"10.814637661489057, 106.67252811116839",8:30 - 21:30,45000,full meal,vietnamese
Bò La Lốt Hoa Trang,Bò là lốt,"100b Thích Quảng Đức, Phường 5, Phú Nhuận","A, H","10.806564945058025, 106.6810002091157",15h-21h,75000,full meal,vietnamese
Bún Thái - Kiểu Hongkong,Bún thái,"456 Sư Vạn Hạnh, P. 9, ",B,"10.766210069198099, 106.67281905828469",07:30 - 13:30 | 16:00 - 21:30,70000,full meal,vietnamese
Cơm tấm Nạc giòn,Cơm tấm,"33/16 Nguyễn Đình Chính,  Quận Phú Nhuận, T","A, H","10.796900741295058, 106.68274894504826",05:30 - 11:00,60000,full meal,vietnamese
"Thằng Đậu - Bún Bò, Lẩu Bò",Lẩu bò,"566 Sư Vạn Hạnh, P. 10,  Quận 10",B,"10.770295723374607, 106.67154065504948",06:00 - 23:00,300000,full meal,vietnamese
Bò City,"Bò nướng, lẩu bò mắm ruốc",5 Thành Thái,B,"10.777124101117726, 106.6639875408851",07:00 - 23:00,300000,snack,vietnamese
Ẩm Thực Quê Nhà,Cơm,"5 Thành Thái, P. 14,  Quận 10",B,"10.769451526099171, 106.66633226863472",07:00 - 23:00,60000,full meal,vietnamese
Xôi Lan Anh,Xôi mặn,Chợ Phùng Hưng,B,"10.753410357629013, 106.65816599876484",6h-10h,35000,fast food,vietnamese
Vua Đậu - Bún đậu nhà vua,Bún đậu,"29 Đ. Thành Thái, Diên Hồng, Hồ Chí Minh ",B,"10.771759748577399, 106.66565635199782",10:00 - 21:51,60000,full meal,vietnamese
Thịt xiên nướng - Cơm Lam,Thịt xiên nướng,"48 Đồng Đen, P.12",B,"10.795453431761723, 106.64533338070139",16h-22h,20000,full meal,vietnamese
Osaka Ramen,Mì Ramen,64 Nguyễn Thời Trung,B,"10.75230019646709, 106.67030920856122",11:00 - 22:00,60000,full meal,japanese
Bít tết 015,Bò beefsteak,015F Chung cư Ấn Quang,B,"10.76492508035533, 106.67124666691375",08:00 - 21:00,99000,full meal,western
Cơm Tấm Hẻm 33,Cơm tấm,"33/16 Nguyễn Đình Chính, phường 8, Phú Nhuận","A, H","10.796624362396598, 106.68000791096405",05:30 - 11:00,60000,full meal,vietnamese
Bún thái Cơm Việt,Bún mắm,"Chợ Nguyễn Tri Phương, Quận 10",B,"10.76215911639767, 106.66819054910452",,45000,full meal,vietnamese
Miến măng vịt,Miến vịt,181 Bùi Thị Xuân,B,"10.795593792784443, 106.66421320665734",11h-21h,50000,full meal,vietnamese
Bánh canh Cá Lóc Quảng Trị O Hiền ngon 30k,Bánh canh,12/20 Phạm Văn Hai,B,"10.798193852407962, 106.66425319132078",12h-19h,30000,full meal,vietnamese
Bún đầu Tiến Vua,Bún đậu,"29 Thành Thái, P. 14,  Quận 10,",B,"10.773192696178922, 106.67195766271008",10:00 - 21:51,86000,full meal,vietnamese
Kem Chiên,Kem Chiên,177 Hải Thượng Lãn Ông,B,"10.750687937844178, 106.65900288527138",18h-22h,45000,snack,dessert
Lẩu bò kho Xương ống,Lẩu bò,"207/6 Trần Bình Trọng, ",B,"10.759117331946223, 106.68089530246196",16h30-22h,160000,full meal,vietnamese
